asset_id,asset_type,borough,install_year,age_years,criticality,base_condition,required_skill
AST-00411,Feeder Cable,Bronx,2004,22,4,61.8,cable
AST-00412,Feeder Cable,Queens,2024,2,3,93.0,cable
AST-00413,Substation,Manhattan,1988,38,3,48.8,power
AST-00414,Third Rail Segment,Queens,2001,25,2,58.0,third_rail
AST-00415,Substation,Bronx,2011,15,2,83.6,power
AST-00416,Circuit Breaker House,Bronx,2006,20,1,61.3,breaker
AST-00417,Substation,Manhattan,2001,25,4,62.0,power
AST-00418,Third Rail Segment,Brooklyn,2015,11,5,83.6,third_rail
AST-00419,Circuit Breaker House,Brooklyn,2014,12,5,80.4,breaker
AST-00420,Third Rail Segment,Manhattan,2009,17,2,83.2,third_rail
AST-00421,Feeder Cable,Queens,2015,11,4,89.5,cable
AST-00422,Substation,Brooklyn,1995,31,5,70.6,power
AST-00423,Substation,Brooklyn,2021,5,3,99.5,power
AST-00424,Substation,Manhattan,1992,34,3,68.9,power
AST-00425,Feeder Cable,Brooklyn,2012,14,1,83.9,cable
AST-00426,Third Rail Segment,Manhattan,2003,23,3,75.7,third_rail
AST-00427,Circuit Breaker House,Brooklyn,2019,7,2,95.5,breaker
AST-00428,Third Rail Segment,Manhattan,2010,16,3,82.6,third_rail
AST-00429,Substation,Bronx,1995,31,2,61.6,power
AST-00430,Third Rail Segment,Manhattan,2015,11,4,85.0,third_rail
AST-00431,Third Rail Segment,Brooklyn,2020,6,4,87.4,third_rail
AST-00432,Third Rail Segment,Manhattan,2005,21,2,78.8,third_rail
AST-00433,Feeder Cable,Manhattan,2019,7,2,91.3,cable
AST-00434,Third Rail Segment,Manhattan,2013,13,1,80.4,third_rail
AST-00435,Substation,Manhattan,2007,19,3,73.5,power
AST-00436,Circuit Breaker House,Manhattan,2003,23,3,65.1,breaker
AST-00437,Substation,Brooklyn,2000,26,2,77.0,power
AST-00438,Feeder Cable,Queens,1998,28,4,68.4,cable
AST-00439,Feeder Cable,Manhattan,1992,34,3,54.9,cable
AST-00440,Feeder Cable,Brooklyn,2023,3,2,100.0,cable
AST-00441,Third Rail Segment,Queens,2011,15,3,78.8,third_rail
AST-00442,Substation,Manhattan,2025,1,4,89.0,power
AST-00443,Feeder Cable,Brooklyn,2025,1,4,100.0,cable
AST-00444,Circuit Breaker House,Manhattan,2017,9,3,85.9,breaker
AST-00445,Circuit Breaker House,Manhattan,2002,24,4,69.5,breaker
AST-00446,Feeder Cable,Brooklyn,1990,36,2,58.9,cable
AST-00447,Third Rail Segment,Bronx,1995,31,3,72.3,third_rail
AST-00448,Feeder Cable,Bronx,2000,26,3,70.2,cable
AST-00449,Substation,Bronx,1994,32,3,54.8,power
AST-00450,Feeder Cable,Brooklyn,2019,7,4,95.8,cable
AST-00451,Substation,Manhattan,1992,34,2,57.5,power
AST-00452,Third Rail Segment,Brooklyn,1990,36,4,71.8,third_rail
AST-00453,Feeder Cable,Manhattan,2022,4,4,95.4,cable
AST-00454,Substation,Manhattan,2007,19,1,62.5,power
AST-00455,Substation,Manhattan,1992,34,4,63.4,power
AST-00456,Circuit Breaker House,Brooklyn,2006,20,1,90.6,breaker
AST-00457,Third Rail Segment,Brooklyn,1992,34,3,71.9,third_rail
AST-00458,Feeder Cable,Manhattan,1988,38,4,69.1,cable
AST-00459,Third Rail Segment,Queens,2007,19,3,71.0,third_rail
AST-00460,Feeder Cable,Brooklyn,2023,3,2,100.0,cable
AST-00461,Feeder Cable,Bronx,2012,14,2,78.8,cable
AST-00462,Substation,Manhattan,2017,9,4,91.2,power
AST-00463,Third Rail Segment,Brooklyn,2007,19,1,69.2,third_rail
AST-00464,Circuit Breaker House,Manhattan,2002,24,4,67.9,breaker
AST-00465,Feeder Cable,Brooklyn,2007,19,3,73.4,cable
AST-00466,Feeder Cable,Manhattan,2018,8,2,97.1,cable
AST-00467,Feeder Cable,Manhattan,2013,13,3,90.7,cable
AST-00468,Third Rail Segment,Queens,1998,28,2,69.7,third_rail
AST-00469,Substation,Brooklyn,2024,2,4,88.2,power
AST-00470,Feeder Cable,Manhattan,2017,9,4,87.5,cable
AST-00471,Feeder Cable,Bronx,1990,36,1,53.4,cable
AST-00472,Feeder Cable,Manhattan,2022,4,3,100.0,cable
AST-00473,Substation,Queens,2009,17,2,88.7,power
AST-00474,Substation,Brooklyn,2017,9,4,97.0,power
AST-00475,Circuit Breaker House,Brooklyn,2021,5,2,89.0,breaker
AST-00476,Circuit Breaker House,Brooklyn,2009,17,5,61.3,breaker
AST-00477,Feeder Cable,Manhattan,2005,21,3,63.5,cable
AST-00478,Feeder Cable,Queens,2018,8,2,100.0,cable
AST-00479,Feeder Cable,Manhattan,2022,4,3,92.6,cable
AST-00480,Feeder Cable,Manhattan,2020,6,2,87.8,cable
AST-00481,Feeder Cable,Brooklyn,1999,27,2,80.4,cable
AST-00482,Circuit Breaker House,Bronx,1991,35,3,68.6,breaker
AST-00483,Feeder Cable,Queens,2018,8,2,91.0,cable
AST-00484,Circuit Breaker House,Bronx,2013,13,1,83.0,breaker
AST-00485,Substation,Queens,2012,14,3,83.0,power
AST-00486,Feeder Cable,Queens,2011,15,1,84.3,cable
AST-00487,Feeder Cable,Brooklyn,2016,10,2,99.7,cable
AST-00488,Circuit Breaker House,Bronx,2023,3,2,99.5,breaker
AST-00489,Feeder Cable,Brooklyn,2004,22,2,79.8,cable
AST-00490,Feeder Cable,Brooklyn,2011,15,5,90.9,cable
AST-00491,Feeder Cable,Queens,2012,14,3,75.7,cable
AST-00492,Feeder Cable,Brooklyn,2015,11,3,92.6,cable
AST-00493,Feeder Cable,Manhattan,1988,38,1,54.2,cable
AST-00494,Circuit Breaker House,Brooklyn,2001,25,3,53.6,breaker
AST-00495,Third Rail Segment,Brooklyn,2009,17,3,65.6,third_rail
AST-00496,Feeder Cable,Bronx,2017,9,2,82.5,cable
AST-00497,Feeder Cable,Brooklyn,1993,33,4,65.8,cable
AST-00498,Feeder Cable,Queens,1990,36,2,59.4,cable
AST-00499,Circuit Breaker House,Brooklyn,2024,2,3,99.0,breaker
AST-00500,Feeder Cable,Queens,1988,38,3,70.0,cable
AST-00501,Feeder Cable,Manhattan,1998,28,3,58.9,cable
AST-00502,Third Rail Segment,Bronx,2022,4,3,95.2,third_rail
AST-00503,Third Rail Segment,Brooklyn,1995,31,3,66.5,third_rail
AST-00504,Feeder Cable,Brooklyn,2021,5,3,89.1,cable
AST-00505,Feeder Cable,Manhattan,2023,3,2,96.7,cable
AST-00506,Third Rail Segment,Brooklyn,2021,5,4,83.1,third_rail
AST-00507,Circuit Breaker House,Brooklyn,2007,19,3,88.0,breaker
AST-00508,Third Rail Segment,Queens,2001,25,3,66.5,third_rail
AST-00509,Feeder Cable,Bronx,2009,17,3,94.7,cable
AST-00510,Substation,Queens,2021,5,4,94.0,power
AST-00511,Substation,Brooklyn,2018,8,3,98.0,power
AST-00512,Third Rail Segment,Brooklyn,1991,35,3,59.4,third_rail
AST-00513,Substation,Queens,1987,39,3,54.9,power
AST-00514,Circuit Breaker House,Bronx,1995,31,5,60.3,breaker
AST-00515,Circuit Breaker House,Brooklyn,2021,5,2,95.1,breaker
AST-00516,Substation,Bronx,1993,33,4,64.3,power
AST-00517,Circuit Breaker House,Brooklyn,1998,28,1,62.3,breaker
AST-00518,Feeder Cable,Queens,2004,22,3,73.8,cable
AST-00519,Substation,Bronx,2020,6,5,88.8,power
AST-00520,Third Rail Segment,Queens,1986,40,4,70.1,third_rail
AST-00521,Third Rail Segment,Manhattan,2008,18,3,78.7,third_rail
AST-00522,Circuit Breaker House,Queens,2024,2,3,100.0,breaker
AST-00523,Substation,Manhattan,2017,9,3,88.3,power
AST-00524,Feeder Cable,Queens,2009,17,3,82.3,cable
AST-00525,Substation,Brooklyn,2023,3,2,87.3,power
AST-00526,Circuit Breaker House,Queens,2013,13,3,81.9,breaker
AST-00527,Third Rail Segment,Bronx,2007,19,3,79.6,third_rail
AST-00528,Third Rail Segment,Manhattan,1988,38,2,67.4,third_rail
AST-00529,Third Rail Segment,Brooklyn,2022,4,2,97.0,third_rail
AST-00530,Circuit Breaker House,Queens,2002,24,2,82.1,breaker
AST-00531,Feeder Cable,Brooklyn,1989,37,4,61.9,cable
AST-00532,Feeder Cable,Manhattan,1993,33,4,73.4,cable
AST-00533,Circuit Breaker House,Manhattan,1989,37,3,57.0,breaker
AST-00534,Feeder Cable,Brooklyn,2019,7,4,100.0,cable
AST-00535,Substation,Queens,1993,33,3,58.7,power
AST-00536,Circuit Breaker House,Queens,1986,40,4,48.6,breaker
AST-00537,Feeder Cable,Manhattan,2012,14,4,75.4,cable
AST-00538,Substation,Brooklyn,2006,20,3,93.3,power
AST-00539,Substation,Brooklyn,2004,22,3,80.4,power
AST-00540,Third Rail Segment,Brooklyn,2006,20,5,74.7,third_rail
AST-00541,Third Rail Segment,Queens,2014,12,3,94.9,third_rail
AST-00542,Feeder Cable,Brooklyn,1987,39,3,60.0,cable
AST-00543,Third Rail Segment,Brooklyn,1987,39,4,68.9,third_rail
AST-00544,Third Rail Segment,Bronx,2010,16,3,70.8,third_rail
AST-00545,Substation,Brooklyn,1993,33,2,60.2,power
AST-00546,Feeder Cable,Queens,2010,16,4,78.4,cable
AST-00547,Circuit Breaker House,Manhattan,1994,32,3,49.4,breaker
AST-00548,Substation,Manhattan,2002,24,2,79.8,power
AST-00549,Third Rail Segment,Manhattan,2007,19,4,76.3,third_rail
AST-00550,Feeder Cable,Queens,2020,6,4,98.3,cable
AST-00551,Feeder Cable,Bronx,1999,27,2,85.5,cable
AST-00552,Substation,Manhattan,2013,13,5,82.6,power
AST-00553,Circuit Breaker House,Manhattan,2017,9,4,86.7,breaker
AST-00554,Third Rail Segment,Brooklyn,2018,8,3,91.6,third_rail
AST-00555,Substation,Queens,1986,40,5,60.9,power
AST-00556,Circuit Breaker House,Queens,2021,5,3,90.3,breaker
AST-00557,Circuit Breaker House,Queens,1994,32,3,58.8,breaker
AST-00558,Feeder Cable,Bronx,1991,35,3,67.2,cable
AST-00559,Feeder Cable,Brooklyn,2024,2,4,100.0,cable
AST-00560,Feeder Cable,Queens,2002,24,4,58.1,cable
AST-00561,Substation,Queens,2002,24,3,63.8,power
AST-00562,Circuit Breaker House,Brooklyn,2011,15,2,93.3,breaker
AST-00563,Third Rail Segment,Bronx,1999,27,3,71.8,third_rail
AST-00564,Feeder Cable,Manhattan,2009,17,3,75.1,cable
AST-00565,Feeder Cable,Queens,2008,18,2,78.1,cable
AST-00566,Feeder Cable,Queens,2008,18,2,79.4,cable
AST-00567,Third Rail Segment,Bronx,1993,33,4,67.2,third_rail
AST-00568,Substation,Brooklyn,2000,26,1,60.6,power
AST-00569,Circuit Breaker House,Brooklyn,2010,16,3,75.7,breaker
AST-00570,Feeder Cable,Queens,1988,38,3,58.2,cable
AST-00571,Circuit Breaker House,Queens,1993,33,5,61.4,breaker
AST-00572,Third Rail Segment,Brooklyn,1988,38,3,60.3,third_rail
AST-00573,Feeder Cable,Queens,1996,30,4,56.9,cable
AST-00574,Third Rail Segment,Brooklyn,2010,16,3,84.1,third_rail
AST-00575,Third Rail Segment,Queens,1995,31,3,72.0,third_rail
AST-00576,Feeder Cable,Bronx,2012,14,4,87.3,cable
AST-00577,Third Rail Segment,Brooklyn,2015,11,3,88.3,third_rail
AST-00578,Feeder Cable,Brooklyn,2007,19,4,77.5,cable
AST-00579,Third Rail Segment,Bronx,1987,39,2,49.3,third_rail
AST-00580,Circuit Breaker House,Queens,2003,23,3,73.0,breaker
AST-00581,Feeder Cable,Bronx,2010,16,4,90.4,cable
AST-00582,Feeder Cable,Brooklyn,2007,19,4,77.3,cable
AST-00583,Substation,Bronx,2014,12,5,80.0,power
AST-00584,Circuit Breaker House,Manhattan,1999,27,2,65.5,breaker
AST-00585,Third Rail Segment,Brooklyn,2011,15,2,84.2,third_rail
AST-00586,Feeder Cable,Brooklyn,2003,23,2,70.9,cable
AST-00587,Substation,Queens,2011,15,4,86.1,power
AST-00588,Circuit Breaker House,Bronx,2013,13,4,88.7,breaker
AST-00589,Circuit Breaker House,Queens,1987,39,3,61.4,breaker
AST-00590,Substation,Queens,2012,14,2,93.9,power
AST-00591,Third Rail Segment,Brooklyn,2023,3,4,100.0,third_rail
AST-00592,Feeder Cable,Brooklyn,2010,16,2,75.1,cable
AST-00593,Circuit Breaker House,Brooklyn,2004,22,4,68.4,breaker
AST-00594,Feeder Cable,Manhattan,2022,4,5,94.9,cable
AST-00595,Substation,Brooklyn,2013,13,4,81.9,power
AST-00596,Circuit Breaker House,Bronx,2019,7,4,84.0,breaker
AST-00597,Feeder Cable,Queens,2005,21,3,72.8,cable
AST-00598,Feeder Cable,Queens,1997,29,1,63.3,cable
AST-00599,Third Rail Segment,Brooklyn,1987,39,3,50.4,third_rail
AST-00600,Feeder Cable,Brooklyn,2010,16,2,79.4,cable
AST-00601,Feeder Cable,Manhattan,1991,35,2,68.0,cable
AST-00602,Third Rail Segment,Brooklyn,2017,9,5,91.0,third_rail
AST-00603,Third Rail Segment,Brooklyn,1994,32,3,80.5,third_rail
AST-00604,Feeder Cable,Brooklyn,2003,23,4,74.7,cable
AST-00605,Third Rail Segment,Manhattan,1995,31,3,62.3,third_rail
AST-00606,Third Rail Segment,Queens,1995,31,3,64.4,third_rail
AST-00607,Third Rail Segment,Brooklyn,2004,22,4,76.5,third_rail
AST-00608,Substation,Brooklyn,2015,11,3,90.4,power
AST-00609,Feeder Cable,Manhattan,2004,22,4,89.2,cable
AST-00610,Feeder Cable,Brooklyn,1992,34,3,55.0,cable
AST-00611,Feeder Cable,Brooklyn,1987,39,3,61.2,cable
AST-00612,Feeder Cable,Brooklyn,1988,38,2,57.8,cable
AST-00613,Third Rail Segment,Queens,2018,8,1,79.8,third_rail
AST-00614,Third Rail Segment,Manhattan,2002,24,3,77.8,third_rail
AST-00615,Circuit Breaker House,Bronx,2021,5,3,100.0,breaker
AST-00616,Feeder Cable,Manhattan,1999,27,2,62.9,cable
AST-00617,Feeder Cable,Brooklyn,1986,40,3,53.9,cable
AST-00618,Circuit Breaker House,Manhattan,2023,3,3,84.5,breaker
AST-00619,Substation,Brooklyn,1999,27,1,60.1,power
AST-00620,Substation,Brooklyn,1988,38,2,63.6,power
AST-00621,Third Rail Segment,Bronx,1992,34,4,57.6,third_rail
AST-00622,Feeder Cable,Brooklyn,2010,16,4,73.8,cable
AST-00623,Third Rail Segment,Queens,2021,5,2,95.9,third_rail
AST-00624,Feeder Cable,Manhattan,1989,37,3,53.8,cable
AST-00625,Third Rail Segment,Manhattan,1989,37,4,54.2,third_rail
AST-00626,Feeder Cable,Brooklyn,2002,24,4,77.6,cable
AST-00627,Third Rail Segment,Brooklyn,1986,40,3,45.9,third_rail
AST-00628,Substation,Brooklyn,2025,1,3,92.5,power
AST-00629,Feeder Cable,Bronx,2001,25,3,72.3,cable
AST-00630,Third Rail Segment,Queens,2024,2,4,100.0,third_rail
AST-00631,Third Rail Segment,Bronx,1988,38,3,65.0,third_rail
AST-00632,Third Rail Segment,Brooklyn,1998,28,4,63.1,third_rail
AST-00633,Substation,Queens,1989,37,3,64.0,power
AST-00634,Circuit Breaker House,Queens,2003,23,4,68.1,breaker
AST-00635,Substation,Queens,2022,4,3,100.0,power
AST-00636,Substation,Bronx,2024,2,4,89.8,power
AST-00637,Feeder Cable,Queens,2012,14,4,93.2,cable
AST-00638,Feeder Cable,Bronx,1996,30,2,60.9,cable
AST-00639,Third Rail Segment,Queens,2019,7,1,100.0,third_rail
AST-00640,Third Rail Segment,Manhattan,1991,35,5,63.9,third_rail
AST-00641,Feeder Cable,Queens,2016,10,3,81.4,cable
AST-00642,Third Rail Segment,Brooklyn,2006,20,1,73.3,third_rail
AST-00643,Substation,Bronx,2017,9,2,95.1,power
AST-00644,Circuit Breaker House,Queens,2007,19,4,85.5,breaker
AST-00645,Feeder Cable,Manhattan,2007,19,3,77.7,cable
AST-00646,Third Rail Segment,Manhattan,2025,1,3,99.2,third_rail
AST-00647,Substation,Manhattan,2003,23,5,78.9,power
AST-00648,Feeder Cable,Brooklyn,1994,32,2,64.1,cable
AST-00649,Feeder Cable,Manhattan,1988,38,2,47.2,cable
AST-00650,Substation,Queens,2012,14,3,78.2,power
AST-00651,Feeder Cable,Queens,1990,36,4,60.2,cable
AST-00652,Third Rail Segment,Bronx,1990,36,4,67.1,third_rail
AST-00653,Feeder Cable,Brooklyn,1986,40,4,65.3,cable
AST-00654,Circuit Breaker House,Brooklyn,2011,15,3,88.2,breaker
AST-00655,Third Rail Segment,Manhattan,1991,35,4,61.8,third_rail
AST-00656,Circuit Breaker House,Bronx,2003,23,3,78.8,breaker
AST-00657,Third Rail Segment,Manhattan,2023,3,3,91.9,third_rail
AST-00658,Circuit Breaker House,Manhattan,2015,11,3,86.3,breaker
AST-00659,Feeder Cable,Manhattan,1999,27,3,63.2,cable
AST-00660,Circuit Breaker House,Queens,2019,7,4,83.2,breaker
AST-00661,Circuit Breaker House,Manhattan,2008,18,4,81.6,breaker
AST-00662,Third Rail Segment,Queens,1995,31,3,65.6,third_rail
AST-00663,Circuit Breaker House,Queens,2020,6,2,97.9,breaker
AST-00664,Substation,Queens,2006,20,3,80.8,power
AST-00665,Circuit Breaker House,Manhattan,2017,9,3,91.3,breaker
AST-00666,Feeder Cable,Manhattan,2004,22,3,78.6,cable
AST-00667,Third Rail Segment,Brooklyn,2016,10,5,88.2,third_rail
AST-00668,Third Rail Segment,Manhattan,1987,39,3,58.0,third_rail
AST-00669,Circuit Breaker House,Queens,2022,4,4,90.3,breaker
AST-00670,Feeder Cable,Brooklyn,1987,39,4,57.7,cable
AST-00671,Substation,Brooklyn,1994,32,3,67.9,power
AST-00672,Feeder Cable,Manhattan,1991,35,5,55.1,cable
AST-00673,Third Rail Segment,Queens,1991,35,3,60.1,third_rail
AST-00674,Feeder Cable,Manhattan,2018,8,4,86.4,cable
AST-00675,Feeder Cable,Queens,1988,38,2,52.6,cable
AST-00676,Circuit Breaker House,Manhattan,2002,24,3,64.5,breaker
AST-00677,Third Rail Segment,Bronx,1987,39,3,64.0,third_rail
AST-00678,Feeder Cable,Queens,1990,36,4,66.1,cable
AST-00679,Substation,Manhattan,2002,24,4,76.2,power
AST-00680,Circuit Breaker House,Manhattan,2011,15,4,96.6,breaker
AST-00681,Substation,Brooklyn,2021,5,3,92.9,power
AST-00682,Circuit Breaker House,Manhattan,2021,5,3,100.0,breaker
AST-00683,Substation,Manhattan,2010,16,5,80.0,power
AST-00684,Feeder Cable,Bronx,1993,33,4,63.8,cable
AST-00685,Feeder Cable,Queens,2005,21,2,73.1,cable
AST-00686,Circuit Breaker House,Manhattan,2006,20,3,79.6,breaker
AST-00687,Feeder Cable,Queens,2016,10,2,94.3,cable
AST-00688,Third Rail Segment,Brooklyn,2003,23,4,72.8,third_rail
AST-00689,Third Rail Segment,Bronx,2000,26,3,82.5,third_rail
AST-00690,Feeder Cable,Manhattan,1986,40,3,55.7,cable
AST-00691,Circuit Breaker House,Queens,1996,30,3,67.4,breaker
AST-00692,Third Rail Segment,Queens,2001,25,4,64.9,third_rail
AST-00693,Circuit Breaker House,Manhattan,1989,37,2,60.4,breaker
AST-00694,Circuit Breaker House,Manhattan,2009,17,2,79.5,breaker
AST-00695,Third Rail Segment,Brooklyn,1988,38,3,52.0,third_rail
AST-00696,Feeder Cable,Bronx,2011,15,4,77.3,cable
AST-00697,Feeder Cable,Brooklyn,2020,6,4,100.0,cable
AST-00698,Feeder Cable,Queens,2009,17,2,78.6,cable
AST-00699,Feeder Cable,Queens,2020,6,4,82.9,cable
AST-00700,Circuit Breaker House,Queens,2021,5,2,89.4,breaker
AST-00701,Circuit Breaker House,Brooklyn,1990,36,3,58.2,breaker
AST-00702,Circuit Breaker House,Brooklyn,1994,32,2,67.0,breaker
AST-00703,Substation,Queens,2017,9,5,93.5,power
AST-00704,Third Rail Segment,Brooklyn,1992,34,4,65.6,third_rail
AST-00705,Circuit Breaker House,Bronx,2023,3,4,92.0,breaker
AST-00706,Feeder Cable,Manhattan,2014,12,4,88.6,cable
AST-00707,Third Rail Segment,Manhattan,1997,29,5,60.5,third_rail
AST-00708,Third Rail Segment,Queens,2013,13,1,80.7,third_rail
AST-00709,Feeder Cable,Brooklyn,1996,30,2,59.1,cable
AST-00710,Feeder Cable,Manhattan,1991,35,3,51.4,cable
AST-00711,Third Rail Segment,Manhattan,2023,3,2,100.0,third_rail
AST-00712,Feeder Cable,Brooklyn,2025,1,2,100.0,cable
AST-00713,Third Rail Segment,Bronx,1988,38,3,63.1,third_rail
AST-00714,Third Rail Segment,Manhattan,2005,21,2,76.1,third_rail
AST-00715,Third Rail Segment,Manhattan,2005,21,4,81.3,third_rail
AST-00716,Circuit Breaker House,Brooklyn,2007,19,3,65.8,breaker
AST-00717,Feeder Cable,Bronx,2008,18,4,85.3,cable
AST-00718,Substation,Brooklyn,1998,28,4,69.0,power
AST-00719,Feeder Cable,Bronx,2002,24,4,76.8,cable
AST-00720,Third Rail Segment,Bronx,2019,7,3,94.6,third_rail
AST-00721,Feeder Cable,Brooklyn,2000,26,5,63.2,cable
AST-00722,Feeder Cable,Queens,1999,27,3,58.5,cable
AST-00723,Substation,Queens,2021,5,1,89.3,power
AST-00724,Third Rail Segment,Brooklyn,2010,16,2,85.6,third_rail
AST-00725,Substation,Brooklyn,1994,32,1,68.0,power
AST-00726,Substation,Queens,2001,25,3,61.7,power
AST-00727,Circuit Breaker House,Queens,2020,6,3,86.2,breaker
AST-00728,Substation,Queens,2024,2,3,92.6,power
AST-00729,Feeder Cable,Bronx,2002,24,5,69.9,cable
AST-00730,Feeder Cable,Brooklyn,2007,19,4,68.6,cable
AST-00731,Circuit Breaker House,Queens,1987,39,4,45.2,breaker
AST-00732,Substation,Bronx,2005,21,2,70.1,power
AST-00733,Substation,Manhattan,1988,38,2,56.9,power
AST-00734,Circuit Breaker House,Manhattan,2017,9,3,81.4,breaker
AST-00735,Substation,Brooklyn,2008,18,3,78.5,power
AST-00736,Feeder Cable,Bronx,2020,6,1,100.0,cable
AST-00737,Circuit Breaker House,Brooklyn,2003,23,3,64.4,breaker
AST-00738,Circuit Breaker House,Queens,2018,8,3,89.4,breaker
AST-00739,Circuit Breaker House,Manhattan,2006,20,3,84.2,breaker
AST-00740,Feeder Cable,Brooklyn,2012,14,2,81.0,cable
AST-00741,Substation,Queens,2018,8,3,86.8,power
AST-00742,Substation,Manhattan,2022,4,3,100.0,power
AST-00743,Third Rail Segment,Bronx,2005,21,3,73.7,third_rail
AST-00744,Substation,Manhattan,1988,38,4,64.0,power
AST-00745,Feeder Cable,Bronx,2018,8,4,93.8,cable
AST-00746,Feeder Cable,Manhattan,2009,17,3,78.1,cable
AST-00747,Circuit Breaker House,Bronx,2017,9,3,93.0,breaker
AST-00748,Feeder Cable,Queens,1993,33,4,64.3,cable
AST-00749,Third Rail Segment,Manhattan,2009,17,4,87.6,third_rail
AST-00750,Third Rail Segment,Manhattan,1987,39,3,51.3,third_rail
AST-00751,Circuit Breaker House,Manhattan,2016,10,4,88.8,breaker
AST-00752,Circuit Breaker House,Queens,2022,4,4,95.0,breaker
AST-00753,Circuit Breaker House,Queens,2002,24,4,77.3,breaker
AST-00754,Feeder Cable,Brooklyn,1999,27,5,61.8,cable
AST-00755,Feeder Cable,Brooklyn,1986,40,2,61.1,cable
AST-00756,Circuit Breaker House,Queens,1991,35,3,63.0,breaker
AST-00757,Circuit Breaker House,Brooklyn,1990,36,3,49.4,breaker
AST-00758,Third Rail Segment,Queens,2000,26,3,78.6,third_rail
AST-00759,Substation,Brooklyn,2011,15,3,98.4,power
AST-00760,Feeder Cable,Queens,2008,18,2,86.3,cable
AST-00761,Feeder Cable,Bronx,2020,6,3,100.0,cable
AST-00762,Substation,Brooklyn,2008,18,2,79.9,power
AST-00763,Substation,Manhattan,2011,15,3,71.1,power
AST-00764,Substation,Manhattan,2024,2,2,84.8,power
AST-00765,Third Rail Segment,Queens,2017,9,2,91.4,third_rail
AST-00766,Substation,Brooklyn,2004,22,3,70.6,power
AST-00767,Circuit Breaker House,Bronx,2011,15,3,76.3,breaker
AST-00768,Substation,Queens,1986,40,4,53.6,power
AST-00769,Substation,Brooklyn,2006,20,5,81.3,power
AST-00770,Feeder Cable,Queens,1987,39,3,45.0,cable
AST-00771,Circuit Breaker House,Brooklyn,1999,27,4,65.8,breaker
AST-00772,Feeder Cable,Queens,2024,2,2,100.0,cable
AST-00773,Feeder Cable,Manhattan,2017,9,2,82.1,cable
AST-00774,Third Rail Segment,Queens,1997,29,5,72.7,third_rail
AST-00775,Substation,Bronx,2004,22,2,71.3,power
AST-00776,Third Rail Segment,Queens,2013,13,2,88.9,third_rail
AST-00777,Feeder Cable,Bronx,2005,21,3,83.5,cable
AST-00778,Substation,Brooklyn,1989,37,3,62.6,power
AST-00779,Third Rail Segment,Queens,2010,16,2,88.0,third_rail
AST-00780,Third Rail Segment,Queens,2024,2,3,89.6,third_rail
AST-00781,Circuit Breaker House,Queens,2013,13,4,92.8,breaker
AST-00782,Third Rail Segment,Manhattan,1988,38,2,50.3,third_rail
AST-00783,Feeder Cable,Manhattan,1995,31,2,66.2,cable
AST-00784,Feeder Cable,Queens,1992,34,4,62.7,cable
AST-00785,Third Rail Segment,Manhattan,1989,37,4,60.8,third_rail
AST-00786,Circuit Breaker House,Queens,2021,5,3,96.6,breaker
AST-00787,Third Rail Segment,Bronx,2014,12,2,80.3,third_rail
AST-00788,Circuit Breaker House,Bronx,2023,3,2,87.1,breaker
AST-00789,Third Rail Segment,Manhattan,2025,1,3,100.0,third_rail
AST-00790,Feeder Cable,Bronx,1992,34,4,62.2,cable
AST-00791,Circuit Breaker House,Manhattan,1988,38,2,64.3,breaker
AST-00792,Feeder Cable,Brooklyn,2019,7,3,91.6,cable
AST-00793,Circuit Breaker House,Bronx,1997,29,4,56.8,breaker
AST-00794,Substation,Manhattan,2004,22,1,81.5,power
AST-00795,Substation,Manhattan,2023,3,4,94.0,power
AST-00796,Circuit Breaker House,Manhattan,1989,37,2,59.8,breaker
AST-00797,Substation,Brooklyn,1991,35,4,55.2,power
AST-00798,Substation,Queens,2003,23,3,85.1,power
AST-00799,Feeder Cable,Manhattan,1997,29,4,60.5,cable
AST-00800,Feeder Cable,Manhattan,2010,16,4,79.2,cable
AST-00801,Feeder Cable,Queens,1994,32,1,64.0,cable
AST-00802,Circuit Breaker House,Manhattan,2008,18,2,71.7,breaker
AST-00803,Third Rail Segment,Queens,1986,40,3,56.3,third_rail
AST-00804,Feeder Cable,Bronx,2023,3,3,100.0,cable
AST-00805,Substation,Queens,2019,7,4,88.5,power
AST-00806,Substation,Bronx,1987,39,4,57.9,power
AST-00807,Feeder Cable,Brooklyn,2014,12,4,67.0,cable
AST-00808,Substation,Bronx,2013,13,3,84.8,power
AST-00809,Feeder Cable,Manhattan,1994,32,1,61.0,cable
AST-00810,Third Rail Segment,Manhattan,2018,8,3,85.1,third_rail
AST-00811,Substation,Queens,2005,21,4,83.4,power
AST-00812,Substation,Manhattan,2014,12,2,83.9,power
AST-00813,Third Rail Segment,Bronx,2018,8,4,89.6,third_rail
AST-00814,Feeder Cable,Queens,1987,39,4,52.5,cable
AST-00815,Substation,Bronx,2018,8,3,77.4,power
AST-00816,Third Rail Segment,Brooklyn,2022,4,1,87.5,third_rail
AST-00817,Third Rail Segment,Brooklyn,1999,27,2,75.7,third_rail
AST-00818,Feeder Cable,Queens,1991,35,5,45.0,cable
AST-00819,Feeder Cable,Manhattan,2020,6,3,87.7,cable
AST-00820,Circuit Breaker House,Brooklyn,1997,29,1,63.9,breaker
AST-00821,Substation,Queens,2004,22,4,86.9,power
AST-00822,Feeder Cable,Bronx,1992,34,3,66.3,cable
