work_order_id,asset_id,work_type,priority,created_date,sla_due_date,completed_date,status,estimated_hours,required_skill
WO-0003458,AST-00874,Preventive,Medium,2024-08-09,2024-08-19,2024-08-13,Completed,5.1,breaker
WO-0003479,AST-00879,Preventive,Medium,2024-08-09,2024-08-19,2024-08-16,Completed,4.6,cable
WO-0004247,AST-00179,Corrective,High,2024-08-09,2024-08-14,2024-08-13,Completed,9.2,third_rail
WO-0005326,AST-00948,Corrective,Medium,2024-08-09,2024-08-19,2024-08-16,Completed,6.8,third_rail
WO-0000884,AST-00226,Preventive,Medium,2024-08-10,2024-08-20,2024-08-13,Completed,4.5,third_rail
WO-0001065,AST-00274,Preventive,Medium,2024-08-10,2024-08-20,2024-08-12,Completed,4.7,cable
WO-0002648,AST-00675,Preventive,Medium,2024-08-10,2024-08-20,2024-08-12,Completed,4.5,cable
WO-0003647,AST-00918,Preventive,Medium,2024-08-10,2024-08-20,2024-08-16,Completed,8.6,power
WO-0004015,AST-00027,Corrective,High,2024-08-10,2024-08-15,2024-08-19,Completed,8.2,cable
WO-0000414,AST-00107,Preventive,Medium,2024-08-11,2024-08-21,2024-08-13,Completed,6.3,cable
WO-0000687,AST-00176,Preventive,Medium,2024-08-11,2024-08-21,2024-08-12,Completed,5.6,power
WO-0001657,AST-00422,Preventive,Medium,2024-08-11,2024-08-21,2024-08-12,Completed,3.4,power
WO-0001798,AST-00458,Preventive,Medium,2024-08-11,2024-08-21,2024-08-14,Completed,4.3,cable
WO-0002316,AST-00593,Preventive,Medium,2024-08-11,2024-08-21,2024-08-11,Completed,3.8,breaker
WO-0003144,AST-00801,Preventive,Medium,2024-08-11,2024-08-21,2024-08-12,Completed,5.3,cable
WO-0001751,AST-00446,Preventive,Medium,2024-08-12,2024-08-22,2024-08-16,Completed,2.8,cable
WO-0002879,AST-00732,Preventive,Medium,2024-08-12,2024-08-22,2024-08-18,Completed,4.7,power
WO-0004784,AST-00570,Corrective,Medium,2024-08-12,2024-08-22,2024-08-17,Completed,5.2,cable
WO-0004817,AST-00595,Corrective,High,2024-08-12,2024-08-17,2024-08-24,Completed,6.5,power
WO-0002654,AST-00677,Preventive,Medium,2024-08-13,2024-08-23,2024-08-20,Completed,4.8,third_rail
WO-0002717,AST-00692,Preventive,Medium,2024-08-13,2024-08-23,2024-08-16,Completed,5.6,third_rail
WO-0003040,AST-00774,Preventive,Medium,2024-08-13,2024-08-23,2024-08-14,Completed,4.7,third_rail
WO-0004657,AST-00477,Corrective,High,2024-08-13,2024-08-18,2024-08-14,Completed,3.5,cable
WO-0000297,AST-00076,Preventive,Medium,2024-08-14,2024-08-24,2024-08-18,Completed,6.6,breaker
WO-0001190,AST-00306,Preventive,Medium,2024-08-14,2024-08-24,2024-08-26,Completed,6.2,cable
WO-0002578,AST-00658,Preventive,Medium,2024-08-14,2024-08-24,2024-08-15,Completed,7.2,breaker
WO-0004187,AST-00142,Corrective,High,2024-08-14,2024-08-19,2024-08-17,Completed,7.1,cable
WO-0004562,AST-00409,Corrective,Medium,2024-08-14,2024-08-24,2024-08-20,Completed,8.0,power
WO-0004824,AST-00601,Corrective,Medium,2024-08-14,2024-08-24,2024-08-16,Completed,6.7,cable
WO-0000301,AST-00077,Preventive,Medium,2024-08-15,2024-08-25,2024-08-18,Completed,3.1,breaker
WO-0002234,AST-00573,Preventive,Medium,2024-08-15,2024-08-25,2024-08-16,Completed,4.0,cable
WO-0003756,AST-00946,Preventive,Medium,2024-08-15,2024-08-25,2024-08-15,Completed,4.4,breaker
WO-0004166,AST-00133,Corrective,Medium,2024-08-15,2024-08-25,2024-08-18,Completed,7.6,cable
WO-0000580,AST-00149,Preventive,Medium,2024-08-16,2024-08-26,2024-08-16,Completed,1.5,cable
WO-0001326,AST-00340,Preventive,Medium,2024-08-16,2024-08-26,2024-08-20,Completed,6.2,third_rail
WO-0004153,AST-00123,Corrective,High,2024-08-16,2024-08-21,2024-08-21,Completed,4.9,power
WO-0004465,AST-00339,Corrective,Medium,2024-08-16,2024-08-26,2024-08-20,Completed,2.4,power
WO-0004981,AST-00716,Corrective,Medium,2024-08-16,2024-08-26,2024-08-17,Completed,8.9,breaker
WO-0005294,AST-00924,Corrective,High,2024-08-16,2024-08-21,2024-08-16,Completed,7.8,cable
WO-0001808,AST-00461,Preventive,Medium,2024-08-17,2024-08-27,2024-08-17,Completed,4.3,cable
WO-0002771,AST-00705,Preventive,Medium,2024-08-17,2024-08-27,2024-08-18,Completed,3.5,breaker
WO-0004361,AST-00262,Corrective,Medium,2024-08-17,2024-08-27,2024-08-25,Completed,6.8,third_rail
WO-0000868,AST-00222,Preventive,Medium,2024-08-20,2024-08-30,2024-08-21,Completed,3.1,cable
WO-0001392,AST-00358,Preventive,Medium,2024-08-20,2024-08-30,2024-08-20,Completed,5.2,third_rail
WO-0002114,AST-00543,Preventive,Medium,2024-08-20,2024-08-30,2024-08-20,Completed,5.1,third_rail
WO-0002359,AST-00603,Preventive,Medium,2024-08-20,2024-08-30,2024-08-22,Completed,4.6,third_rail
WO-0004289,AST-00212,Corrective,High,2024-08-20,2024-08-25,2024-08-26,Completed,4.7,cable
WO-0000577,AST-00148,Preventive,Medium,2024-08-21,2024-08-31,2024-08-31,Completed,5.7,cable
WO-0000653,AST-00167,Preventive,Medium,2024-08-21,2024-08-31,2024-08-24,Completed,5.5,third_rail
WO-0000806,AST-00205,Preventive,Medium,2024-08-21,2024-08-31,2024-08-26,Completed,5.7,power
WO-0001686,AST-00430,Preventive,Medium,2024-08-21,2024-08-31,2024-08-22,Completed,4.4,third_rail
WO-0001843,AST-00470,Preventive,Medium,2024-08-21,2024-08-31,2024-08-25,Completed,5.9,cable
WO-0002502,AST-00639,Preventive,Medium,2024-08-21,2024-08-31,2024-08-26,Completed,5.2,third_rail
WO-0002663,AST-00679,Preventive,Medium,2024-08-21,2024-08-31,2024-08-24,Completed,5.7,power
WO-0003936,AST-00990,Preventive,Medium,2024-08-21,2024-08-31,2024-08-26,Completed,7.1,third_rail
WO-0004414,AST-00300,Corrective,Medium,2024-08-21,2024-08-31,2024-08-22,Completed,6.8,cable
WO-0004534,AST-00386,Corrective,Medium,2024-08-21,2024-08-31,2024-08-23,Completed,6.3,third_rail
WO-0004612,AST-00449,Corrective,Medium,2024-08-21,2024-08-31,2024-08-24,Completed,6.3,power
WO-0005023,AST-00744,Corrective,Medium,2024-08-21,2024-08-31,2024-08-24,Completed,8.3,power
WO-0001617,AST-00412,Preventive,Medium,2024-08-22,2024-09-01,2024-08-24,Completed,3.4,cable
WO-0001620,AST-00413,Preventive,Medium,2024-08-22,2024-09-01,2024-08-25,Completed,5.7,power
WO-0004008,AST-00021,Corrective,High,2024-08-22,2024-08-27,2024-08-23,Completed,6.4,third_rail
WO-0004610,AST-00449,Corrective,High,2024-08-22,2024-08-27,2024-08-23,Completed,5.3,power
WO-0005341,AST-00961,Corrective,Medium,2024-08-22,2024-09-01,2024-08-23,Completed,5.5,cable
WO-0000770,AST-00197,Preventive,Medium,2024-08-23,2024-09-02,2024-08-25,Completed,6.0,cable
WO-0001105,AST-00284,Preventive,Medium,2024-08-23,2024-09-02,2024-08-30,Completed,6.5,breaker
WO-0002372,AST-00606,Preventive,Medium,2024-08-23,2024-09-02,2024-08-26,Completed,5.2,third_rail
WO-0003491,AST-00881,Preventive,Medium,2024-08-23,2024-09-02,2024-08-26,Completed,6.7,cable
WO-0003773,AST-00951,Preventive,Medium,2024-08-23,2024-09-02,2024-08-31,Completed,5.0,cable
WO-0004780,AST-00567,Corrective,Medium,2024-08-23,2024-09-02,2024-08-28,Completed,5.1,third_rail
WO-0001059,AST-00272,Preventive,Medium,2024-08-25,2024-09-04,2024-09-02,Completed,4.4,power
WO-0001511,AST-00387,Preventive,Medium,2024-08-25,2024-09-04,2024-08-25,Completed,5.8,cable
WO-0002476,AST-00633,Preventive,Medium,2024-08-25,2024-09-04,2024-08-31,Completed,5.6,power
WO-0003081,AST-00785,Preventive,Medium,2024-08-25,2024-09-04,2024-08-27,Completed,5.3,third_rail
WO-0004376,AST-00268,Corrective,Medium,2024-08-25,2024-09-04,2024-08-27,Completed,4.4,power
WO-0004849,AST-00620,Corrective,Medium,2024-08-25,2024-09-04,2024-08-30,Completed,6.4,power
WO-0002133,AST-00548,Preventive,Medium,2024-08-26,2024-09-05,2024-08-26,Completed,4.9,power
WO-0002409,AST-00616,Preventive,Medium,2024-08-26,2024-09-05,2024-08-26,Completed,4.7,cable
WO-0002608,AST-00666,Preventive,Medium,2024-08-26,2024-09-05,2024-09-11,Completed,4.1,cable
WO-0003507,AST-00885,Preventive,Medium,2024-08-26,2024-09-05,2024-08-27,Completed,5.0,breaker
WO-0004630,AST-00458,Corrective,Medium,2024-08-26,2024-09-05,2024-08-27,Completed,7.0,cable
WO-0005069,AST-00780,Corrective,Critical,2024-08-26,2024-08-28,2024-08-30,Completed,8.2,third_rail
WO-0000232,AST-00060,Preventive,Medium,2024-08-27,2024-09-06,2024-09-02,Completed,5.3,power
WO-0001573,AST-00402,Preventive,Medium,2024-08-27,2024-09-06,2024-08-29,Completed,5.7,third_rail
WO-0003055,AST-00778,Preventive,Medium,2024-08-27,2024-09-06,2024-08-28,Completed,4.7,power
WO-0003777,AST-00952,Preventive,Medium,2024-08-27,2024-09-06,2024-09-08,Completed,2.8,breaker
WO-0004060,AST-00055,Corrective,High,2024-08-27,2024-09-01,2024-08-27,Completed,5.3,cable
WO-0005263,AST-00905,Corrective,Medium,2024-08-27,2024-09-06,2024-09-08,Completed,6.9,third_rail
WO-0005298,AST-00929,Corrective,High,2024-08-27,2024-09-01,2024-08-31,Completed,2.0,cable
WO-0001895,AST-00485,Preventive,Medium,2024-08-28,2024-09-07,2024-08-29,Completed,5.4,power
WO-0004830,AST-00606,Corrective,High,2024-08-28,2024-09-02,2024-08-29,Completed,7.2,third_rail
WO-0001073,AST-00276,Preventive,Medium,2024-08-29,2024-09-08,2024-09-02,Completed,6.7,breaker
WO-0002201,AST-00564,Preventive,Medium,2024-08-29,2024-09-08,2024-08-31,Completed,5.5,cable
WO-0003211,AST-00818,Preventive,Medium,2024-08-29,2024-09-08,2024-08-30,Completed,4.3,cable
WO-0000177,AST-00046,Preventive,Medium,2024-08-30,2024-09-09,2024-09-13,Completed,4.7,third_rail
WO-0000892,AST-00228,Preventive,Medium,2024-08-30,2024-09-09,2024-09-09,Completed,5.5,cable
WO-0001177,AST-00302,Preventive,Medium,2024-08-30,2024-09-09,2024-09-01,Completed,6.0,power
WO-0001651,AST-00421,Preventive,Medium,2024-08-30,2024-09-09,2024-09-05,Completed,3.2,cable
WO-0002173,AST-00557,Preventive,Medium,2024-08-30,2024-09-09,2024-09-03,Completed,5.6,breaker
WO-0002832,AST-00720,Preventive,Medium,2024-08-30,2024-09-09,2024-09-03,Completed,3.1,third_rail
WO-0003927,AST-00988,Preventive,Medium,2024-08-30,2024-09-09,2024-09-04,Completed,5.6,power
WO-0004147,AST-00120,Corrective,High,2024-08-30,2024-09-04,2024-09-07,Completed,5.3,cable
WO-0004236,AST-00170,Corrective,Critical,2024-08-30,2024-09-01,2024-08-30,Completed,6.7,third_rail
WO-0001934,AST-00497,Preventive,Medium,2024-08-31,2024-09-10,2024-09-04,Completed,5.0,cable
WO-0002822,AST-00718,Preventive,Medium,2024-08-31,2024-09-10,2024-09-07,Completed,3.7,power
WO-0003913,AST-00985,Preventive,Medium,2024-08-31,2024-09-10,2024-09-07,Completed,4.9,power
WO-0005332,AST-00954,Corrective,Medium,2024-08-31,2024-09-10,2024-09-01,Completed,6.1,power
WO-0002550,AST-00652,Preventive,Medium,2024-09-01,2024-09-11,2024-09-02,Completed,7.5,third_rail
WO-0002565,AST-00655,Preventive,Medium,2024-09-01,2024-09-11,2024-09-03,Completed,5.1,third_rail
WO-0003485,AST-00880,Preventive,Medium,2024-09-01,2024-09-11,2024-09-02,Completed,5.6,cable
WO-0005227,AST-00878,Corrective,Medium,2024-09-01,2024-09-11,2024-09-04,Completed,3.9,breaker
WO-0000516,AST-00135,Preventive,Medium,2024-09-02,2024-09-12,2024-09-03,Completed,6.1,cable
WO-0003376,AST-00855,Preventive,Medium,2024-09-02,2024-09-12,2024-09-06,Completed,2.4,breaker
WO-0003907,AST-00984,Preventive,Medium,2024-09-02,2024-09-12,2024-09-04,Completed,9.4,cable
WO-0004667,AST-00489,Corrective,High,2024-09-02,2024-09-07,2024-09-05,Completed,6.3,cable
WO-0004934,AST-00681,Corrective,High,2024-09-02,2024-09-07,2024-09-03,Completed,3.8,power
WO-0001154,AST-00296,Preventive,Medium,2024-09-03,2024-09-13,2024-09-05,Completed,6.4,third_rail
WO-0002328,AST-00595,Preventive,Medium,2024-09-03,2024-09-13,2024-09-07,Completed,5.7,power
WO-0002797,AST-00712,Preventive,Medium,2024-09-03,2024-09-13,2024-09-05,Completed,2.6,cable
WO-0003591,AST-00904,Preventive,Medium,2024-09-03,2024-09-13,2024-09-04,Completed,3.5,cable
WO-0003612,AST-00908,Preventive,Medium,2024-09-03,2024-09-13,2024-09-08,Completed,5.1,power
WO-0004004,AST-00017,Corrective,High,2024-09-03,2024-09-08,2024-09-10,Completed,5.4,cable
WO-0004016,AST-00028,Corrective,Medium,2024-09-03,2024-09-13,2024-09-12,Completed,6.0,power
WO-0004017,AST-00028,Corrective,Medium,2024-09-03,2024-09-13,2024-09-06,Completed,5.2,power
WO-0005068,AST-00775,Corrective,Medium,2024-09-03,2024-09-13,2024-09-05,Completed,6.9,power
WO-0000173,AST-00045,Preventive,Medium,2024-09-04,2024-09-14,2024-09-04,Completed,4.1,third_rail
WO-0002700,AST-00688,Preventive,Medium,2024-09-04,2024-09-14,2024-09-04,Completed,5.5,third_rail
WO-0002732,AST-00696,Preventive,Medium,2024-09-04,2024-09-14,2024-09-08,Completed,4.3,cable
WO-0003528,AST-00890,Preventive,Medium,2024-09-04,2024-09-14,2024-09-07,Completed,4.5,cable
WO-0004045,AST-00048,Corrective,Medium,2024-09-04,2024-09-14,2024-09-10,Completed,7.5,breaker
WO-0000385,AST-00099,Preventive,Medium,2024-09-05,2024-09-15,2024-09-10,Completed,5.2,power
WO-0000706,AST-00181,Preventive,Medium,2024-09-05,2024-09-15,2024-09-07,Completed,6.3,third_rail
WO-0001306,AST-00334,Preventive,Medium,2024-09-05,2024-09-15,2024-09-07,Completed,6.6,third_rail
WO-0001379,AST-00355,Preventive,Medium,2024-09-05,2024-09-15,2024-09-05,Completed,4.7,cable
WO-0003348,AST-00849,Preventive,Medium,2024-09-05,2024-09-15,2024-09-08,Completed,5.4,power
WO-0003671,AST-00924,Preventive,Medium,2024-09-05,2024-09-15,2024-09-15,Completed,3.9,cable
WO-0004468,AST-00342,Corrective,High,2024-09-05,2024-09-10,2024-09-13,Completed,8.8,third_rail
WO-0005318,AST-00939,Corrective,Critical,2024-09-05,2024-09-07,2024-09-06,Completed,11.6,third_rail
WO-0001062,AST-00273,Preventive,Medium,2024-09-06,2024-09-16,2024-09-13,Completed,6.5,power
WO-0002225,AST-00571,Preventive,Medium,2024-09-06,2024-09-16,2024-09-08,Completed,3.6,breaker
WO-0002439,AST-00624,Preventive,Medium,2024-09-06,2024-09-16,2024-09-13,Completed,4.3,cable
WO-0002540,AST-00650,Preventive,Medium,2024-09-06,2024-09-16,2024-09-13,Completed,7.5,power
WO-0003233,AST-00823,Preventive,Medium,2024-09-06,2024-09-16,2024-09-09,Completed,5.7,breaker
WO-0003291,AST-00835,Preventive,Medium,2024-09-06,2024-09-16,2024-09-08,Completed,6.7,cable
WO-0000817,AST-00208,Preventive,Medium,2024-09-07,2024-09-17,2024-09-09,Completed,5.4,cable
WO-0001223,AST-00314,Preventive,Medium,2024-09-07,2024-09-17,2024-09-09,Completed,6.0,breaker
WO-0003060,AST-00780,Preventive,Medium,2024-09-07,2024-09-17,2024-09-12,Completed,3.9,third_rail
WO-0004251,AST-00184,Corrective,Medium,2024-09-07,2024-09-17,2024-09-09,Completed,8.5,breaker
WO-0000284,AST-00073,Preventive,Medium,2024-09-08,2024-09-18,2024-09-12,Completed,4.6,third_rail
WO-0002207,AST-00566,Preventive,Medium,2024-09-08,2024-09-18,2024-09-10,Completed,6.3,cable
WO-0002544,AST-00651,Preventive,Medium,2024-09-08,2024-09-18,2024-09-19,Completed,6.3,cable
WO-0002674,AST-00681,Preventive,Medium,2024-09-08,2024-09-18,2024-09-08,Completed,4.5,power
WO-0003366,AST-00853,Preventive,Medium,2024-09-08,2024-09-18,2024-09-09,Completed,3.8,third_rail
WO-0003597,AST-00905,Preventive,Medium,2024-09-08,2024-09-18,2024-09-08,Completed,6.5,third_rail
WO-0000709,AST-00182,Preventive,Medium,2024-09-09,2024-09-19,2024-09-10,Completed,4.6,third_rail
WO-0001329,AST-00341,Preventive,Medium,2024-09-09,2024-09-19,2024-09-21,Completed,6.1,power
WO-0005289,AST-00922,Corrective,Medium,2024-09-09,2024-09-19,2024-09-10,Completed,9.1,third_rail
WO-0005372,AST-00987,Corrective,Medium,2024-09-09,2024-09-19,2024-09-15,Completed,9.4,breaker
WO-0000586,AST-00151,Preventive,Medium,2024-09-10,2024-09-20,2024-09-12,Completed,4.1,third_rail
WO-0002620,AST-00669,Preventive,Medium,2024-09-10,2024-09-20,2024-09-15,Completed,5.5,breaker
WO-0004114,AST-00101,Corrective,Medium,2024-09-10,2024-09-20,2024-09-10,Completed,6.7,third_rail
WO-0004256,AST-00191,Corrective,High,2024-09-10,2024-09-15,2024-09-11,Completed,6.9,third_rail
WO-0004607,AST-00448,Corrective,Medium,2024-09-10,2024-09-20,2024-09-13,Completed,5.8,cable
WO-0000218,AST-00056,Preventive,Medium,2024-09-11,2024-09-21,2024-09-15,Completed,4.0,third_rail
WO-0000811,AST-00206,Preventive,Medium,2024-09-11,2024-09-21,2024-09-15,Completed,7.0,breaker
WO-0001018,AST-00261,Preventive,Medium,2024-09-11,2024-09-21,2024-09-15,Completed,4.6,power
WO-0001778,AST-00453,Preventive,Medium,2024-09-11,2024-09-21,2024-09-13,Completed,7.6,cable
WO-0002248,AST-00576,Preventive,Medium,2024-09-11,2024-09-21,2024-09-11,Completed,4.4,cable
WO-0000053,AST-00016,Preventive,Medium,2024-09-12,2024-09-22,2024-09-16,Completed,6.7,breaker
WO-0000730,AST-00187,Preventive,Medium,2024-09-12,2024-09-22,2024-09-15,Completed,4.5,breaker
WO-0001514,AST-00388,Preventive,Medium,2024-09-12,2024-09-22,2024-09-13,Completed,5.2,third_rail
WO-0002137,AST-00549,Preventive,Medium,2024-09-12,2024-09-22,2024-09-14,Completed,3.7,third_rail
WO-0002998,AST-00763,Preventive,Medium,2024-09-12,2024-09-22,2024-09-12,Completed,7.1,power
WO-0004263,AST-00195,Corrective,High,2024-09-12,2024-09-17,2024-09-14,Completed,2.8,power
WO-0005021,AST-00743,Corrective,Medium,2024-09-12,2024-09-22,2024-09-17,Completed,3.9,third_rail
WO-0005363,AST-00981,Corrective,High,2024-09-12,2024-09-17,2024-09-25,Completed,6.1,third_rail
WO-0001372,AST-00353,Preventive,Medium,2024-09-13,2024-09-23,2024-09-24,Completed,4.3,cable
WO-0001583,AST-00404,Preventive,Medium,2024-09-13,2024-09-23,2024-09-14,Completed,6.0,power
WO-0003248,AST-00826,Preventive,Medium,2024-09-13,2024-09-23,2024-09-13,Completed,3.9,power
WO-0005335,AST-00956,Corrective,Medium,2024-09-13,2024-09-23,2024-09-14,Completed,9.7,third_rail
WO-0001605,AST-00409,Preventive,Medium,2024-09-14,2024-09-24,2024-09-17,Completed,4.0,power
WO-0002795,AST-00711,Preventive,Medium,2024-09-14,2024-09-24,2024-09-26,Completed,5.0,third_rail
WO-0003259,AST-00828,Preventive,Medium,2024-09-14,2024-09-24,2024-09-19,Completed,5.8,breaker
WO-0003382,AST-00856,Preventive,Medium,2024-09-14,2024-09-24,2024-09-15,Completed,5.3,cable
WO-0003608,AST-00907,Preventive,Medium,2024-09-14,2024-09-24,2024-09-17,Completed,6.1,cable
WO-0004027,AST-00035,Corrective,High,2024-09-14,2024-09-19,2024-09-18,Completed,7.2,cable
WO-0005076,AST-00785,Corrective,Medium,2024-09-14,2024-09-24,2024-09-15,Completed,7.4,third_rail
WO-0000125,AST-00033,Preventive,Medium,2024-09-15,2024-09-25,2024-09-18,Completed,2.2,breaker
WO-0001349,AST-00347,Preventive,Medium,2024-09-15,2024-09-25,2024-09-17,Completed,6.1,third_rail
WO-0004219,AST-00161,Corrective,Medium,2024-09-15,2024-09-25,2024-09-16,Completed,3.6,power
WO-0004445,AST-00320,Corrective,High,2024-09-15,2024-09-20,2024-09-18,Completed,6.4,third_rail
WO-0004989,AST-00720,Corrective,Medium,2024-09-15,2024-09-25,2024-09-19,Completed,8.6,third_rail
WO-0005209,AST-00867,Corrective,Critical,2024-09-15,2024-09-17,2024-09-17,Completed,8.2,third_rail
WO-0001315,AST-00337,Preventive,Medium,2024-09-16,2024-09-26,2024-09-16,Completed,5.3,power
WO-0002556,AST-00653,Preventive,Medium,2024-09-16,2024-09-26,2024-09-21,Completed,5.7,cable
WO-0003007,AST-00766,Preventive,Medium,2024-09-16,2024-09-26,2024-09-20,Completed,4.0,power
WO-0003272,AST-00831,Preventive,Medium,2024-09-16,2024-09-26,2024-09-23,Completed,8.3,cable
WO-0004629,AST-00458,Corrective,Medium,2024-09-16,2024-09-26,2024-09-25,Completed,3.9,cable
WO-0004634,AST-00459,Corrective,Medium,2024-09-16,2024-09-26,2024-09-25,Completed,7.8,third_rail
WO-0000528,AST-00137,Preventive,Medium,2024-09-17,2024-09-27,2024-09-24,Completed,1.6,third_rail
WO-0000789,AST-00201,Preventive,Medium,2024-09-17,2024-09-27,2024-09-18,Completed,8.0,third_rail
WO-0001285,AST-00329,Preventive,Medium,2024-09-17,2024-09-27,2024-09-21,Completed,3.9,cable
WO-0001312,AST-00336,Preventive,Medium,2024-09-17,2024-09-27,2024-09-23,Completed,3.4,cable
WO-0003029,AST-00771,Preventive,Medium,2024-09-17,2024-09-27,2024-09-21,Completed,5.9,breaker
WO-0003895,AST-00981,Preventive,Medium,2024-09-17,2024-09-27,2024-09-23,Completed,3.7,third_rail
WO-0004163,AST-00131,Corrective,Medium,2024-09-17,2024-09-27,2024-09-19,Completed,8.1,power
WO-0004290,AST-00212,Corrective,High,2024-09-17,2024-09-22,2024-09-20,Completed,3.5,cable
WO-0004536,AST-00388,Corrective,High,2024-09-17,2024-09-22,2024-09-18,Completed,6.5,third_rail
WO-0000532,AST-00138,Preventive,Medium,2024-09-18,2024-09-28,2024-09-25,Completed,5.1,cable
WO-0001824,AST-00465,Preventive,Medium,2024-09-18,2024-09-28,2024-09-24,Completed,6.4,cable
WO-0002851,AST-00726,Preventive,Medium,2024-09-18,2024-09-28,2024-09-18,Completed,5.6,power
WO-0004103,AST-00093,Corrective,Medium,2024-09-18,2024-09-28,2024-09-21,Completed,6.0,cable
WO-0004342,AST-00240,Corrective,Medium,2024-09-18,2024-09-28,2024-09-19,Completed,7.5,power
WO-0000225,AST-00058,Preventive,Medium,2024-09-19,2024-09-29,2024-09-23,Completed,5.5,cable
WO-0001806,AST-00460,Preventive,Medium,2024-09-19,2024-09-29,2024-09-21,Completed,5.9,cable
WO-0002845,AST-00723,Preventive,Medium,2024-09-19,2024-09-29,2024-09-21,Completed,6.0,power
WO-0004093,AST-00081,Corrective,High,2024-09-19,2024-09-24,2024-09-23,Completed,3.1,cable
WO-0000679,AST-00174,Preventive,Medium,2024-09-20,2024-09-30,2024-09-24,Completed,4.5,third_rail
WO-0000899,AST-00230,Preventive,Medium,2024-09-20,2024-09-30,2024-09-26,Completed,5.3,power
WO-0001704,AST-00435,Preventive,Medium,2024-09-20,2024-09-30,2024-09-22,Completed,4.6,power
WO-0002123,AST-00545,Preventive,Medium,2024-09-20,2024-09-30,2024-09-20,Completed,2.5,power
WO-0002230,AST-00572,Preventive,Medium,2024-09-20,2024-09-30,2024-09-21,Completed,5.2,third_rail
WO-0004703,AST-00509,Corrective,Medium,2024-09-20,2024-09-30,2024-09-22,Completed,6.6,cable
WO-0000481,AST-00124,Preventive,Medium,2024-09-21,2024-10-01,2024-09-24,Completed,3.5,cable
WO-0000635,AST-00163,Preventive,Medium,2024-09-21,2024-10-01,2024-09-26,Completed,3.0,breaker
WO-0001116,AST-00287,Preventive,Medium,2024-09-21,2024-10-01,2024-09-25,Completed,6.4,power
WO-0002464,AST-00630,Preventive,Medium,2024-09-21,2024-10-01,2024-09-25,Completed,3.7,third_rail
WO-0003957,AST-00995,Preventive,Medium,2024-09-21,2024-10-01,2024-09-26,Completed,3.9,third_rail
WO-0004957,AST-00697,Corrective,Medium,2024-09-21,2024-10-01,2024-09-23,Completed,7.0,cable
WO-0000274,AST-00071,Preventive,Medium,2024-09-22,2024-10-02,2024-10-01,Completed,6.6,breaker
WO-0000614,AST-00158,Preventive,Medium,2024-09-22,2024-10-02,2024-09-25,Completed,7.3,cable
WO-0000657,AST-00168,Preventive,Medium,2024-09-22,2024-10-02,2024-09-25,Completed,5.1,third_rail
WO-0001343,AST-00345,Preventive,Medium,2024-09-22,2024-10-02,2024-09-22,Completed,5.1,third_rail
WO-0002472,AST-00632,Preventive,Medium,2024-09-22,2024-10-02,2024-09-28,Completed,2.7,third_rail
WO-0002754,AST-00701,Preventive,Medium,2024-09-22,2024-10-02,2024-09-23,Completed,5.4,breaker
WO-0004237,AST-00171,Corrective,Critical,2024-09-22,2024-09-24,2024-09-25,Completed,7.0,breaker
WO-0000240,AST-00063,Preventive,Medium,2024-09-23,2024-10-03,2024-09-28,Completed,6.2,cable
WO-0001337,AST-00343,Preventive,Medium,2024-09-23,2024-10-03,2024-09-28,Completed,1.5,third_rail
WO-0001382,AST-00356,Preventive,Medium,2024-09-23,2024-10-03,2024-09-24,Completed,4.5,cable
WO-0002449,AST-00626,Preventive,Medium,2024-09-23,2024-10-03,2024-09-28,Completed,6.4,cable
WO-0003603,AST-00906,Preventive,Medium,2024-09-23,2024-10-03,2024-09-27,Completed,5.8,cable
WO-0003692,AST-00929,Preventive,Medium,2024-09-23,2024-10-03,2024-09-24,Completed,6.2,cable
WO-0000098,AST-00026,Preventive,Medium,2024-09-24,2024-10-04,2024-09-30,Completed,4.9,breaker
WO-0005356,AST-00974,Corrective,Medium,2024-09-24,2024-10-04,2024-09-29,Completed,5.5,third_rail
WO-0001015,AST-00260,Preventive,Medium,2024-09-25,2024-10-05,2024-09-29,Completed,2.9,cable
WO-0001477,AST-00377,Preventive,Medium,2024-09-25,2024-10-05,2024-09-27,Completed,3.2,third_rail
WO-0001773,AST-00452,Preventive,Medium,2024-09-25,2024-10-05,2024-09-29,Completed,5.7,third_rail
WO-0001906,AST-00489,Preventive,Medium,2024-09-25,2024-10-05,2024-09-28,Completed,5.2,cable
WO-0002406,AST-00615,Preventive,Medium,2024-09-25,2024-10-05,2024-10-02,Completed,5.0,breaker
WO-0000703,AST-00180,Preventive,Medium,2024-09-26,2024-10-06,2024-09-30,Completed,5.7,cable
WO-0002412,AST-00617,Preventive,Medium,2024-09-26,2024-10-06,2024-09-28,Completed,6.7,cable
WO-0004947,AST-00692,Corrective,Medium,2024-09-26,2024-10-06,2024-10-01,Completed,4.1,third_rail
WO-0001672,AST-00426,Preventive,Medium,2024-09-27,2024-10-07,2024-09-28,Completed,4.3,third_rail
WO-0003100,AST-00790,Preventive,Medium,2024-09-27,2024-10-07,2024-09-28,Completed,4.4,cable
WO-0003452,AST-00872,Preventive,Medium,2024-09-27,2024-10-07,2024-09-30,Completed,3.3,power
WO-0003643,AST-00917,Preventive,Medium,2024-09-27,2024-10-07,2024-10-02,Completed,5.3,power
WO-0000348,AST-00089,Preventive,Medium,2024-09-28,2024-10-08,2024-09-29,Completed,5.3,power
